gene_id	name	ko_flux	dependency_score	essential
b3844	fre	0.9844549722809168	0.0020876274723558245	nonessential
b0910	cmk	0.984499506780459	0.0020424841906935397	nonessential
b2500	purN	0.9850286295025595	0.0015061284143128325	nonessential
b4208	cycA	0.9853932636362248	0.0011365097687922477	nonessential
b2508	guaB	0.9855434009993715	0.0009843200430238203	nonessential
b3744	asnA	0.9855529315598817	0.0009746592007121251	nonessential
b0242	proB	0.9856326362428747	0.0008938649627361284	nonessential
b0243	proA	0.9856326362428807	0.0008938649627300512	nonessential
b1206	dauA	0.9857385138301069	0.0007865400395579487	nonessential
b3708	tnaA	0.9862308345981202	0.0002874892962674749	nonessential
b2903	gcvP	0.9863412578673229	0.0001755565521045329	nonessential
b2905	gcvT	0.9863412578673268	0.00017555655210048146	nonessential
b2904	gcvH	0.9863412578673268	0.00017555655210048146	nonessential
b1378	pfo	0.9864040716873484	0.0001118840734902625	nonessential
b4238	nrdD	0.9864108767285648	0.00010498600804641679	nonessential
b2436	hemF	0.986430154422668	8.54447898077872e-05	nonessential
b4468	glcE	0.9864942887330033	2.0433769914424504e-05	nonessential
b4467	glcF	0.9864942887330033	2.0433769914424504e-05	nonessential
b2979	glcD	0.9864942887330153	2.0433769902270188e-05	nonessential
b4209	ytfE	0.9865030015356037	1.1601864180653645e-05	nonessential
b3926	glpK	0.9865078582553845	6.678753529976609e-06	nonessential
b2528	iscA	0.9865122856368023	2.190850254420666e-06	nonessential
b2529	iscU	0.9865122856368099	2.1908502466554085e-06	nonessential
b3816	corA	0.9865131854992222	1.27868680592673e-06	nonessential
b3835	ubiB	0.9865142178776642	2.321958546109003e-07	nonessential
b2907	ubiH	0.9865142178776689	2.3219584988422175e-07	nonessential
b0662	ubiF	0.9865142178776737	2.321958450450032e-07	nonessential
b3478	nikC	0.986514446952964	0.0	nonessential
b3477	nikB	0.9865144469529652	0.0	nonessential
b2866	xdhA	0.9865144469529724	0.0	nonessential
b2093	gatB	0.9865144469529723	0.0	nonessential
b0401	brnQ	0.9865144469529723	0.0	nonessential
b3476	nikA	0.9865144469529753	0.0	nonessential
b0026	ileS	0.9865144469529821	0.0	nonessential
b0871	poxB	0.9865144469529717	0.0	nonessential
b2711	norW	0.9865144469529723	0.0	nonessential
b4119	melA	0.9865144469529723	0.0	nonessential
b2710	norV	0.9865144469529739	0.0	nonessential
b3384	trpS	0.9865144469529736	0.0	nonessential
b0678	nagB	0.986514446952977	0.0	nonessential
b1009	rutD	0.9865144469529659	0.0	nonessential
b2867	xdhB	0.986514446952976	0.0	nonessential
b1768	pncA	0.9865144469529796	0.0	nonessential
b2215	ompC	0.9865144469529712	0.0	nonessential
b3161	mtr	0.9865144469529723	0.0	nonessential
b0751	pnuC	0.9865144469529789	0.0	nonessential
b2241	glpA	0.9865144469529686	0.0	nonessential
b3093	exuT	0.986514446952964	0.0	nonessential
b3266	acrF	0.986514446952964	0.0	nonessential
b3265	acrE	0.986514446952964	0.0	nonessential
b2242	glpB	0.9865144469529866	0.0	nonessential
b1015	putP	0.9865144469529751	0.0	nonessential
b2243	glpC	0.9865144469529801	0.0	nonessential
b4390	nadR	0.986514446952964	0.0	nonessential
b2092	gatC	0.986514446952964	0.0	nonessential
b2868	xdhC	0.986514446952983	0.0	nonessential
b3479	nikD	0.986514446952964	0.0	nonessential
b2094	gatA	0.986514446952964	0.0	nonessential
b3480	nikE	0.986514446952964	0.0	nonessential
b1533	eamA	0.9865144469529712	0.0	nonessential
b2045	wcaK	0.9865144469529723	0.0	nonessential
b2996	hybA	0.9865144469529766	0.0	nonessential
b1602	pntB	0.9865144469529723	0.0	nonessential
b2265	menF	0.9865144469529723	0.0	nonessential
b4358	lgoD	0.9865144469529779	0.0	nonessential
b2789	gudP	0.986514446952961	0.0	nonessential
b4226	ppa	0.9865144469529736	0.0	nonessential
b0973	hyaB	0.9865144469529629	0.0	nonessential
b0974	hyaC	0.986514446952974	0.0	nonessential
b2994	hybC	0.9865144469529723	0.0	nonessential
