gene_id	name	dependency_score	essential	wt_biomass	ko_biomass
b0341	cynX	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b0512	allB	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b0511	ybbW	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b4085	alsE	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b4088	alsB	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b4311	nanC	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b4087	alsA	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b4086	alsC	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b1677	lpp	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b1919	dcyD	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b3008	metC	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b3225	nanA	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b0221	fadE	0.010520690315264697	False	0.9823718127269785	0.9720365831108327
b3708	tnaA	0.00029461953299678807	False	0.9823718127269785	0.9820823868022837
b2421	cysM	0.0	False	0.9823718127269785	0.9823718127269843
b0657	lnt	8.13704716863931e-15	False	0.9823718127269785	0.9823718127269705
b3001	gpr	8.13704716863931e-15	False	0.9823718127269785	0.9823718127269705
b1091	fabH	1.0	True	0.9823718127269785	-2.1947491915310856e-16
b1781	yeaE	0.0	False	0.9823718127269785	0.9823718127269838
b2414	cysK	0.0	False	0.9823718127269785	0.9823718127269827
b3957	argE	1.0	True	0.9823718127269785	5.3233642556091815e-17
b2810	csdA	0.0	False	0.9823718127269785	0.9823718127269827
b3201	lptB	0.9999999999999997	True	0.9823718127269785	3.80406463073571e-16
b1622	malY	0.0	False	0.9823718127269785	0.9823718127269928
b0207	dkgB	0.0	False	0.9823718127269785	0.9823718127269933
b4261	lptF	0.9999999999999993	True	0.9823718127269785	6.724315720300732e-16
b3012	dkgA	1.4239832545118792e-14	False	0.9823718127269785	0.9823718127269645
b0526	cysS	1.130145440088793e-14	False	0.9823718127269785	0.9823718127269674
b0886	cydC	1.130145440088793e-14	False	0.9823718127269785	0.9823718127269674
b3945	gldA	1.130145440088793e-14	False	0.9823718127269785	0.9823718127269674
b4262	lptG	0.9999999999999978	True	0.9823718127269785	2.226890527388439e-15
b0887	cydD	0.0	False	0.9823718127269785	0.9823718127269858
b3200	lptA	1.0	True	0.9823718127269785	-7.901562117871812e-16
b3091	uxaA	0.0	False	0.9823718127269785	0.9823718127269849
b3199	lptC	0.9999999999999986	True	0.9823718127269785	1.4669589060282893e-15
b1519	tam	0.0	False	0.9823718127269785	0.9823718127269928
b3416	malQ	0.0	False	0.9823718127269785	0.9823718127269822
b3223	nanE	0.0	False	0.9823718127269785	0.9823718127269822
b0979	cbdB	0.0	False	0.9823718127269785	0.9823718127269822
b0978	cbdA	0.0	False	0.9823718127269785	0.9823718127269822
b1587	ynfE	0.0	False	0.9823718127269785	0.9823718127269822
b0734	cydB	0.0	False	0.9823718127269785	0.9823718127269822
b0733	cydA	0.0	False	0.9823718127269785	0.9823718127269822
b0429	cyoD	0.09039367653704268	False	0.9823718127269785	0.8935716128482277
b3222	nanK	5.5377126564350864e-15	False	0.9823718127269785	0.982371812726973
b0774	bioA	1.0	True	0.9823718127269785	-2.1987693185781726e-15
b3833	ubiE	0.0	False	0.9823718127269785	0.9823718127269826
b3994	thiC	1.0	True	0.9823718127269785	-1.0993846592890863e-15
b0896	dmsC	7.119916272559396e-15	False	0.9823718127269785	0.9823718127269715
b1982	amn	1.0962410768861293e-14	False	0.9823718127269785	0.9823718127269677
b0430	cyoC	0.09039367653702866	False	0.9823718127269785	0.8935716128482415
b0432	cyoA	0.09039367653698832	False	0.9823718127269785	0.8935716128482811
b0894	dmsA	0.0	False	0.9823718127269785	0.9823718127270121
b0431	cyoB	0.09039367653681406	False	0.9823718127269785	0.8935716128484523
b2523	pepB	2.8253636002219827e-15	False	0.9823718127269785	0.9823718127269757
b1872	torZ	0.0	False	0.9823718127269785	0.9823718127269855
b0932	pepN	0.0	False	0.9823718127269785	0.9823718127269855
b2143	cdd	0.0	False	0.9823718127269785	0.9823718127269855
b1873	torY	0.0	False	0.9823718127269785	0.9823718127269855
b2162	rihB	0.0	False	0.9823718127269785	0.9823718127269855
b0237	pepD	0.0	False	0.9823718127269785	0.9823718127269855
b0099	mutT	0.0	False	0.9823718127269785	0.9823718127269855
b4260	pepA	0.0	False	0.9823718127269785	0.9823718127269855
b0651	rihA	0.0	False	0.9823718127269785	0.9823718127269855
b1865	nudB	0.0	False	0.9823718127269785	0.9823718127269855
b2066	udk	0.0	False	0.9823718127269785	0.9823718127269855
b1640	anmK	0.0	False	0.9823718127269785	0.9823718127269855
b1263	trpD	1.0	True	0.9823718127269785	0.0
b3575	yiaK	7.911018080621551e-16	False	0.9823718127269785	0.9823718127269777
