b_number	gene_name	ppi_degree	ppi_betweenness	ppi_eigen	met_degree	met_betweenness	met_eigen	fba_dep_full	fba_dep_ltee	ppi_degree_norm	ppi_eigen_norm	ppi_betweenness_norm	met_degree_norm	met_eigen_norm	fba_dep_ltee_norm	composite_integration	ppi_composite	met_composite
b0030	rihC	23	0.0001897703373402594	5.651884793898294e-05	145	0.0002414618249715391	0.018666620990410353	0.0	0.0	0.04423076923076923	0.0007690489023973421	0.003371570463049422	0.2865731462925851	0.32554148086397644	0.0	0.13142288905794564	0.022499909066583286	0.3060573135782808
b3551	bisC	40	0.0002969341726738115	0.0005838532854098608	276	0.001275517757153782	0.03538186939275343	0.0	0.0	0.07692307692307693	0.007944460028454281	0.005275505645869192	0.5490981963927856	0.6179767018077962	0.0	0.2503884870304226	0.042433768475765604	0.5835374491002909
b1246	oppD	191	0.00012054978824075961	0.07287388848018887	299	0.0013028876821224303	0.04367939211394653	0.0	0.0	0.36730769230769234	0.9915910531230137	0.0021417578271500587	0.595190380761523	0.7631428298755271	0.0	0.5434463912135512	0.679449372715353	0.679166605318525
b0775	bioB	49	0.00033203449226939787	0.00012630704748271013	132	0.00035493027869680244	0.017745139349506604	1.0	0.9999999999999996	0.09423076923076923	0.0017186531533072713	0.005899118389834988	0.2605210420841683	0.30942005204838147	0.9999999999999996	0.33317810330332515	0.04797471119203825	0.2849705470662749
b1329	mppA	192	0.000377018304519832	0.07280751803581897	277	0.0010630038625394425	0.040107405691110126	0.0	0.0	0.36923076923076925	0.9906879540816214	0.006698327027099442	0.5511022044088176	0.7006505106693067	0.0	0.522334287678103	0.6799593616561953	0.6258763575390622
b0933	ssuB	192	8.057956162636293e-05	0.07298616934462221	318	0.0009498653879567646	0.04810179476211419	0.0	0.0	0.36923076923076925	0.9931188527633373	0.001431623475579287	0.6332665330661322	0.8405132801607982	0.0	0.5672258870442073	0.6811748109970532	0.7368899066134652
b2393	nupC	11	0.00015723762339477294	2.5061969232766714e-05	190	0.0008736489694302432	0.02467908815604419	0.0	0.0	0.021153846153846155	0.0003410168577955277	0.002793575298163511	0.37675350701402804	0.43073029539293833	0.0	0.16579573308372159	0.010747431505820842	0.4037419012034832
b1247	oppF	189	0.0003635237464758357	0.07291992712509732	324	0.0015985270232406613	0.0496052683469127	0.0	0.0	0.3634615384615385	0.9922174984704653	0.006458574840584297	0.6452905811623246	0.8668167259350242	0.0	0.5735572688058704	0.6778395184660019	0.7560536535486744
b1244	oppB	188	4.557753946480944e-05	0.0727896817093083	279	0.001130805020023437	0.0395056379481526	0.0	0.0	0.3615384615384616	0.9904452561529473	0.0008097571411410488	0.5551102204408818	0.6901225137988576	0.0	0.5194432903862296	0.6759918588457045	0.6226163671198697
b1386	tynA	48	0.0017588404714778383	0.0001559251906798149	53	2.9262220478872167e-06	0.003553587011830396	0.0	0.0	0.09230769230769231	0.0021216656234370832	0.031248585347761565	0.10220440881763526	0.061137188192025106	0.0	0.05155419098815796	0.0472146789655647	0.08167079850483018
b0366	tauB	191	5.905230519437733e-05	0.07290957872247487	259	0.0006501997184890048	0.03744381425796569	0.0	0.0	0.36730769230769234	0.9920766883165332	0.0010491576858577048	0.5150300601202404	0.6540506677889298	0.0	0.5056930217066792	0.6796921903121127	0.5845403639545852
b0367	tauC	195	0.00047277332372470065	0.07294618977799153	321	0.0009092511845567283	0.04973664231854566	0.0	0.0	0.375	0.9925748529658035	0.008399566530410239	0.6392785571142284	0.8691151288959618	0.0	0.5751937077951987	0.6837874264829018	0.7541968430050952
b0004	thrC	71	0.00040185115948930555	0.0003162833908165411	112	0.00013790257860964275	0.01466009456985791	1.0	1.0	0.13653846153846155	0.004303650966427459	0.0071395220078415925	0.22044088176352702	0.25544683370053567	1.0	0.32334596559379036	0.0704210562524445	0.23794385773203136
b0934	ssuC	194	0.0003282855878058187	0.07295222743251448	304	0.0008600914093106647	0.045526398815557714	0.0	0.0	0.3730769230769231	0.9926570070038502	0.005832513167251995	0.6052104208416833	0.7954564276079227	0.0	0.5532801557060758	0.6828669650403867	0.7003334242248029
b0365	tauA	194	0.0012975302864237667	0.0728386630744094	313	0.0008721000000382327	0.04759817985270061	0.0	0.0	0.3730769230769231	0.9911117429346593	0.023052679622814484	0.6232464929859719	0.8317024785645553	0.0	0.5638275275124218	0.6820943330057911	0.7274744857752635
b0936	ssuA	208	0.0011951503648048472	0.07306452484678404	304	0.0008378428730289224	0.04574539191121661	0.0	0.0	0.4	0.9941850318368988	0.021233738240417337	0.6052104208416833	0.7992877373660956	0.0	0.5597366380089355	0.6970925159184493	0.7022490791038895
b1192	ldcA	21	7.530863085930192e-05	2.3610214628435734e-05	117	0.00020647214806017694	0.01654827640228527	0.0	0.0	0.04038461538461539	0.00032126291153292244	0.001337977046236975	0.23046092184368736	0.28848079515040564	0.0	0.11192951905804827	0.020352939148074154	0.2594708584970465
b1216	chaA	21	0.0002514010405261379	5.104394122808616e-05	194	0.0010232892318871286	0.024439653445109025	0.0	0.0	0.04038461538461539	0.000694552143346475	0.0044665374710170635	0.38476953907815625	0.42654135719061226	0.0	0.17047801275934607	0.02053958376398093	0.40565544813438426
b1243	oppA	199	0.000981638896470978	0.07290173786808311	322	0.0014976048436437896	0.049395119139590785	0.0	0.0	0.3826923076923077	0.9919699982355472	0.017440369001335172	0.6412825651302605	0.863140141035111	0.0	0.5758170024186453	0.6873311529639274	0.7522113530826857
b4266	idnO	14	0.00014944117532262536	2.787600295270373e-05	174	0.00029500188925105027	0.02334156368594912	0.0	0.0	0.026923076923076925	0.00037930726219235903	0.0026550590558193773	0.344689378757515	0.40733014874150186	0.0	0.15586438233685723	0.013651192092634643	0.37600976374950845
b4132	cadB	21	0.00016815634225600311	4.7230992014982794e-05	184	0.00043949519513107496	0.021249419294806764	0.0	0.0	0.04038461538461539	0.000642669549943303	0.002987563623856677	0.36472945891783565	0.3707278385308845	0.0	0.15529691647665578	0.020513642467279346	0.36772864872436006
b4265	idnT	9	4.215133422720841e-05	2.585464705775157e-05	184	0.0003373153456167688	0.02323994965600152	0.0	0.0	0.01730769230769231	0.0003518027820223881	0.0007488851811638233	0.36472945891783565	0.4055523994324008	0.0	0.15758827068799022	0.008829747544857349	0.3851409291751182
b0159	mtn	37	0.0006535851834223245	0.0014182985423770488	120	0.0005211713002847349	0.015702393146015438	1.0	1.0	0.07115384615384615	0.019298711439843397	0.011611975456218766	0.23647294589178355	0.2736819688939396	1.0	0.3201214944758825	0.04522627879684477	0.2550774573928616
