gene_id	name	dependency_score	essential	retained
b2288	nuoA	0.110942324133761	partial	0
b2282	nuoH	0.11094232413309	partial	1
b2283	nuoG	0.110942324133079	partial	1
b2277	nuoM	0.110942324133078	partial	1
b2284	nuoF	0.110942324133077	partial	1
b2286	nuoC	0.110942324133075	partial	1
b2285	nuoE	0.110942324133073	partial	1
b2278	nuoL	0.110942324133072	partial	1
b2276	nuoN	0.110942324133071	partial	0
b2287	nuoB	0.110942324133003	partial	0
b2279	nuoK	0.110942324130287	partial	1
b0431	cyoB	0.0907236350546757	partial	1
b0432	cyoA	0.0907236350239144	partial	1
b0430	cyoC	0.0907236350238855	partial	1
b0429	cyoD	0.0907236350238727	partial	1
b2779	eno	0.0776567175765359	partial	1
b3919	tpiA	0.035425234249338	partial	1
b1761	gdhA	0.0335742703987366	partial	0
b0116	lpd	0.029125536078023	partial	0
b0723	sdhA	0.0272758664531156	partial	0
b0722	sdhD	0.0272758664531151	partial	0
b0724	sdhB	0.027275866453113	partial	0
b0721	sdhC	0.0272758664531044	partial	0
b4388	serB	0.0211737100236866	partial	0
b2913	serA	0.0211737100236656	partial	0
b0114	aceE	0.0171509643857247	partial	1
b0115	aceF	0.0171509643857075	partial	1
b3236	mdh	0.016605198045718	partial	0
b2501	ppk	0.0147173992606856	partial	0
b2551	glyA	0.0139298169888542	partial	0
b0529	folD	0.011508989917055	partial	1
b2416	ptsI	0.0105552037046642	partial	1
b2415	ptsH	0.0105552037046633	partial	0
b0452	tesB	0.00979889389273295	nonessential	0
b0221	fadE	0.00979889389272912	nonessential	0
b2836	aas	0.0097988602004175	nonessential	0
b2029	gnd	0.0067002325063177	nonessential	0
b0767	pgl	0.00670023239683984	nonessential	1
b1852	zwf	0.00670023239683173	nonessential	1
b4025	pgi	0.00632708980413742	nonessential	1
b0727	sucB	0.00537447536993458	nonessential	1
b0726	sucA	0.00537447536992738	nonessential	0
b3846	fadB	0.0032203008013521	nonessential	0
b0728	sucC	0.0031609433421785	nonessential	0
b0729	sucD	0.00316094334216286	nonessential	0
b3956	ppc	0.00303665511344304	nonessential	0
b3844	fre	0.00208762747235582	nonessential	0
b0910	cmk	0.00204248419069354	nonessential	0
b2500	purN	0.00150612841431283	nonessential	0
b4208	cycA	0.00113650976879225	nonessential	0
b2508	guaB	0.00098432004302382	nonessential	0
b3744	asnA	0.000974659200712125	nonessential	0
b0242	proB	0.000893864962736128	nonessential	0
b0243	proA	0.000893864962730051	nonessential	0
b1206	dauA	0.000786540039557949	nonessential	0
b3708	tnaA	0.000287489296267475	nonessential	0
b2903	gcvP	0.000175556552104533	nonessential	0
b2905	gcvT	0.000175556552100481	nonessential	0
b2904	gcvH	0.000175556552100481	nonessential	0
b1378	pfo	0.000111884073490263	nonessential	0
b4238	nrdD	0.000104986008046417	nonessential	0
b2436	hemF	8.54447898077872e-05	nonessential	0
b4468	glcE	2.04337699144245e-05	nonessential	0
b4467	glcF	2.04337699144245e-05	nonessential	0
b2979	glcD	2.04337699022702e-05	nonessential	0
b4209	ytfE	1.16018641806536e-05	nonessential	0
b3926	glpK	6.67875352997661e-06	nonessential	0
b2528	iscA	2.19085025442067e-06	nonessential	0
b2529	iscU	2.19085024665541e-06	nonessential	1
b3816	corA	1.27868680592673e-06	nonessential	0
b3835	ubiB	2.321958546109e-07	nonessential	0
b2907	ubiH	2.32195849884222e-07	nonessential	0
b0662	ubiF	2.32195845045003e-07	nonessential	0
b3478	nikC	0	nonessential	0
b3477	nikB	0	nonessential	0
b2866	xdhA	0	nonessential	0
b2093	gatB	0	nonessential	0
b0401	brnQ	0	nonessential	0
b3476	nikA	0	nonessential	0
b0026	ileS	0	nonessential	1
b0871	poxB	0	nonessential	0
b2711	norW	0	nonessential	0
b4119	melA	0	nonessential	0
b2710	norV	0	nonessential	0
b3384	trpS	0	nonessential	1
b0678	nagB	0	nonessential	0
b1009	rutD	0	nonessential	0
b2867	xdhB	0	nonessential	0
b1768	pncA	0	nonessential	0
b2215	ompC	0	nonessential	0
b3161	mtr	0	nonessential	0
b0751	pnuC	0	nonessential	0
b2241	glpA	0	nonessential	0
b3093	exuT	0	nonessential	0
b3266	acrF	0	nonessential	0
b3265	acrE	0	nonessential	0
b2242	glpB	0	nonessential	0
b1015	putP	0	nonessential	0
b2243	glpC	0	nonessential	0
b4390	nadR	0	nonessential	0
b2092	gatC	0	nonessential	0
b2868	xdhC	0	nonessential	0
b3479	nikD	0	nonessential	0
b2094	gatA	0	nonessential	0
b3480	nikE	0	nonessential	0
b1533	eamA	0	nonessential	0
b2045	wcaK	0	nonessential	0
b2996	hybA	0	nonessential	0
b1602	pntB	0	nonessential	0
b2265	menF	0	nonessential	0
b4358	lgoD	0	nonessential	0
b2789	gudP	0	nonessential	0
b4226	ppa	0	nonessential	1
b0973	hyaB	0	nonessential	0
b0974	hyaC	0	nonessential	0
b2994	hybC	0	nonessential	0
b0972	hyaA	0	nonessential	0
b4478	dgoD	0	nonessential	0
b3127	garP	0	nonessential	0
b1603	pntA	0	nonessential	0
b4356	lgoT	0	nonessential	0
b3739	atpI	0	nonessential	0
b3691	dgoT	0	nonessential	0
b3028	mdaB	0	nonessential	0
b2997	hybO	0	nonessential	0
b0756	galM	0	nonessential	0
b1134	nudJ	0	nonessential	0
b1637	tyrS	0	nonessential	1
b4267	idnD	0	nonessential	0
b0451	amtB	0	nonessential	0
b2518	ndk	0	nonessential	0
b0757	galK	0	nonessential	0
b0019	nhaA	0	nonessential	0
b3962	sthA	0	nonessential	0
b4015	aceA	0	nonessential	0
b3709	tnaB	0	nonessential	0
b4067	actP	0	nonessential	0
b0446	cof	0	nonessential	0
b1623	add	0	nonessential	0
b2995	hybB	0	nonessential	0
b0593	entC	0	nonessential	0
b1186	nhaB	0	nonessential	0
b0931	pncB	0	nonessential	1
b3128	garD	0	nonessential	0
b2917	scpA	0	nonessential	0
b1012	rutA	0	nonessential	0
